118	182	199	316
499	194	585	170
264	267	277	142
246	366	287	205
258	43	366	51
237	280	352	236
77	281	98	66
275	129	386	235
372	187	336	280
1	323	127	228
445	338	476	124
61	307	140	232
231	270	407	93
227	129	357	37
54	291	4	370
266	311	336	165
414	150	390	194
344	183	374	83
357	180	300	218
290	50	388	214
275	135	264	93
335	268	228	270
338	189	284	198
317	9	389	87
494	165	539	36
320	192	300	203
246	125	265	109
123	149	76	366
509	178	568	316
514	164	471	68
190	84	84	306
468	109	499	209
100	377	144	197
321	379	314	169
252	130	277	52
554	53	585	150
442	240	450	129
80	359	189	303
241	153	253	109
50	293	116	355
589	260	476	151
144	45	35	228
63	184	40	316
397	167	231	319
293	344	226	166
378	224	347	161
555	57	475	49
395	166	238	268
125	133	63	381
33	157	100	314
291	28	383	162
522	180	478	224
74	86	48	288
108	112	117	120
547	31	459	45
328	261	394	345
487	125	490	190
410	14	270	35
36	179	1	314
41	322	100	232
163	274	5	42
171	306	76	186
22	86	104	112
375	171	330	181
576	334	578	97
87	358	156	77
136	298	77	314
296	138	300	253
311	229	271	337
258	94	327	255
292	96	272	178
12	43	60	185
352	254	373	190
565	113	503	65
329	49	270	106
89	117	125	205
5	63	65	294
261	84	369	39
66	196	134	302
264	290	268	203
337	222	303	40
416	163	325	215
392	357	252	167
344	210	274	153
183	7	63	71
91	266	132	40
166	238	42	74
71	144	82	49
49	127	114	135
117	279	170	25
236	350	250	65
537	218	485	259
401	170	348	204
326	292	257	116
86	218	50	337
376	32	381	279
486	252	565	50
116	103	118	25
20	156	71	290
194	262	63	75
54	100	97	139
124	117	173	62
81	53	115	264
118	121	183	231
25	253	110	294
314	191	405	129
489	250	485	260
140	381	50	270
413	370	295	300
115	25	123	272
23	379	158	265
290	172	308	167
329	164	232	72
122	217	24	256
147	265	37	65
448	200	495	239
121	337	26	186
35	27	194	326
10	146	44	15
131	42	133	244
325	297	229	28
126	322	64	190
3	116	112	263
108	378	116	191
231	382	291	374
394	339	298	359
13	308	7	285
31	110	153	378
67	24	73	134
486	204	506	149
564	60	470	60
416	197	404	120
589	181	568	351
282	326	317	206
533	188	482	114
521	49	465	131
331	287	267	139
27	124	77	331
195	57	85	188
312	33	257	339
357	258	405	39
570	154	510	48
344	173	285	185
375	164	263	358
56	281	106	62
237	44	386	356
468	13	457	369
348	195	297	295
532	202	541	34
386	22	382	202
508	11	454	117
79	73	14	103
460	84	441	137
41	351	163	85
260	278	246	283
126	79	89	103
416	231	379	130
197	21	27	204
557	10	500	73
177	378	148	230
406	154	327	283
522	213	469	18
8	338	147	240
163	278	37	94
297	146	293	340
53	158	69	37
104	251	34	84
278	338	277	165
351	219	343	193
58	71	31	279
402	78	412	170
116	317	79	257
186	314	176	62
483	381	466	27
487	224	589	161
69	338	56	51
139	299	12	225
249	18	274	297
120	379	131	335
225	176	269	332
571	142	528	85
371	52	402	189
42	320	32	52
181	280	21	12
386	98	387	38
131	93	11	271
278	225	382	112
400	214	321	281
198	275	86	162
23	338	144	222
44	353	44	251
443	157	449	54
334	188	258	40
